City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,tarawa,1.419,172.984,28.65,73,91,2.07,KI,2023-12-12
287,buzet,45.4094,13.9667,11.65,96,99,1.14,HR,2023-12-12
288,kupjansk,49.7209,37.5998,0.38,98,100,6.73,UA,2023-12-12
289,bagrationovsk,54.3871,20.6437,-0.36,99,100,2.23,RU,2023-12-12
290,revda,56.801,59.9303,-31.97,96,82,1.42,RU,2023-12-12
291,shingu,33.7333,135.9833,19.43,92,85,2.19,JP,2023-12-12
292,sakakah,29.9697,40.2064,17.76,35,100,2.45,SA,2023-12-12
293,bakori,11.5544,7.4243,13.38,36,0,3.88,NG,2023-12-12
294,san patricio,28.017,-97.5169,17.91,48,100,3.35,US,2023-12-12
295,contai,21.7786,87.7536,15.23,51,0,3.23,IN,2023-12-12
296,kasongo-lunda,-6.4667,16.8167,21.59,99,100,0.05,CD,2023-12-12
297,borkum,53.5809,6.6915,7.19,90,77,1.41,DE,2023-12-12
298,malmberget,67.1753,20.6549,-14.69,85,100,2.06,SE,2023-12-12
299,dzhalagash,45.0833,64.6667,-17.78,48,0,7.0,KZ,2023-12-12
300,kourou,5.1552,-52.6478,28.03,88,92,2.8,GF,2023-12-12
301,el quebrachal,-25.2833,-64.0667,26.49,65,75,3.34,AR,2023-12-12
302,karratha,-20.7377,116.8463,27.55,41,0,2.53,AU,2023-12-12
303,howard springs,-12.497,131.047,32.68,71,81,0.54,AU,2023-12-12
304,tvoroyri,61.5556,-6.8111,7.4,76,90,5.76,FO,2023-12-12
305,arkhangel'sk,64.5401,40.5433,-13.94,77,40,3.0,RU,2023-12-12
306,cartagena,10.3997,-75.5144,27.79,78,20,2.57,CO,2023-12-12
307,dampit,-8.2116,112.7493,24.88,77,100,0.47,ID,2023-12-12
308,beau vallon,-20.4189,57.6953,25.13,78,75,2.57,MU,2023-12-12
309,nybro,56.7446,15.9071,0.69,96,100,4.34,SE,2023-12-12
310,dolores,-36.3132,-57.6792,18.01,90,96,4.47,AR,2023-12-12
311,shubarkuduk,49.1447,56.4872,-23.27,70,5,6.98,KZ,2023-12-12
312,freetown,8.484,-13.2299,25.84,83,40,2.06,SL,2023-12-12
313,keflavik,64.0049,-22.5624,-1.76,86,20,3.09,IS,2023-12-12
314,pacific grove,36.6177,-121.9166,17.12,77,0,3.13,US,2023-12-12
315,tazovsky,67.4667,78.7,-25.37,94,100,3.96,RU,2023-12-12
316,cabinda,-5.55,12.2,27.08,89,100,1.03,AO,2023-12-12
317,linxia chengguanzhen,35.6003,103.2064,-0.63,40,11,1.42,CN,2023-12-12
318,alpena,45.0617,-83.4327,0.14,79,100,2.57,US,2023-12-12
319,bonthe,7.5264,-12.505,26.41,82,9,2.17,SL,2023-12-12
320,yuma,32.7253,-114.6244,21.09,13,0,3.09,US,2023-12-12
321,guiuan,11.0333,125.7247,27.53,81,28,3.55,PH,2023-12-12
322,vorkuta,67.5,64.0,-17.49,88,100,6.32,RU,2023-12-12
323,balsas,-7.5325,-46.0356,24.64,89,85,1.38,BR,2023-12-12
324,gisborne,-38.6533,178.0042,20.55,45,0,5.51,NZ,2023-12-12
325,belen,36.4891,36.2233,10.22,100,75,1.54,TR,2023-12-12
326,madimba,-10.4,40.3333,26.15,86,96,2.31,TZ,2023-12-12
327,east london,-33.0153,27.9116,19.15,86,64,2.2,ZA,2023-12-12
328,kenai,60.5544,-151.2583,-0.95,88,20,5.66,US,2023-12-12
329,nizhneudinsk,54.9076,99.0276,-34.44,99,11,0.67,RU,2023-12-12
330,nieuw amsterdam,5.8833,-55.0833,26.19,92,20,1.54,SR,2023-12-12
331,palu,-0.8917,119.8707,27.94,78,59,0.54,ID,2023-12-12
332,brisas de zicatela,15.8369,-97.0419,28.29,57,75,1.54,MX,2023-12-12
333,hami,42.8,93.45,-2.85,59,100,1.02,CN,2023-12-12
334,vanimo,-2.6741,141.3028,29.57,69,88,3.79,PG,2023-12-12
335,borogontsy,62.6683,131.1683,-36.27,100,100,0.82,RU,2023-12-12
336,yeppoon,-23.1333,150.7333,25.88,68,86,9.15,AU,2023-12-12
337,gornozavodsk,58.3758,58.3211,-37.84,99,74,1.53,RU,2023-12-12
338,urucara,-2.5364,-57.76,23.7,97,100,1.16,BR,2023-12-12
339,puerto quijarro,-17.7833,-57.7667,27.32,75,92,1.35,BO,2023-12-12
340,mata-utu,-13.2816,-176.1745,27.54,76,83,4.19,WF,2023-12-12
341,umluj,25.0213,37.2685,24.8,73,100,3.43,SA,2023-12-12
